Month,Date,Destination,Category,Origin,Destination_Long,Destination_Lat,Origin_Long,Origin_Lat,Distance,Transportation Cost,Entry Cost,Average Price,Horse Drain
7,22.07.2022,Ebreichsdorf,CSN-B*,Zwentendorf,16.39163215125545,47.96611095,16.4330201,48.6106026,98.7359,109.8930567,200,100,-15
7,29.07.2022,Kammer-Schörfling,CSN-B*,Zwentendorf,13.5962583,47.9485339,16.4330201,48.6106026,283.4475,315.4770675,200,100,-15
7,29.07.2022,Igls,CSN-B*,Zwentendorf,11.4079216,47.2310263,16.4330201,48.6106026,522.9628,582.0575964,200,100,-15
7,29.07.2022,Ranshofen,CSN-B*,Zwentendorf,13.0148774,48.2351825,16.4330201,48.6106026,330.5409,367.89202170000004,200,100,-15
8,05.08.2022,Ranshofen,CSN-B*,Zwentendorf,13.0148774,48.2351825,16.4330201,48.6106026,330.5409,367.89202170000004,200,100,-15
8,06.08.2022,Ried am Riederberg,CSN-B*,Zwentendorf,16.071244,48.2552614,16.4330201,48.6106026,65.1197,72.47822609999999,200,100,-15
8,13.08.2022,Amstetten,CSN-B*,Zwentendorf,14.8752424,48.1203262,16.4330201,48.6106026,168.8092,187.8846396,200,100,-15
8,13.08.2022,Villach/Sumperhof,CSN-B*,Zwentendorf,13.808475,46.6090512,16.4330201,48.6106026,426.8324,475.0644612,200,100,-15
8,19.08.2022,Lasberg,CSN-B*,Zwentendorf,14.5407634,48.4714029,16.4330201,48.6106026,175.357,195.172341,200,100,-15
8,19.08.2022,Passail,CSN-B*,Zwentendorf,15.515058,47.2819214,16.4330201,48.6106026,253.6674,282.3318162,200,100,-15
8,26.08.2022,Lamprechtshausen,CSN-B*,Zwentendorf,12.9554913,47.9926148,16.4330201,48.6106026,359.9878,400.6664214,200,100,-15
9,02.09.2022,Linz-Ebelsberg,CSN-B*,Zwentendorf,14.3471044,48.2519744,16.4330201,48.6106026,215.8538,240.24527940000002,200,100,-15
9,02.09.2022,Lamprechtshausen,CSN-B*,Zwentendorf,12.9554913,47.9926148,16.4330201,48.6106026,359.9878,400.6664214,200,100,-15
9,02.09.2022,Ebreichsdorf,CSN-B*,Zwentendorf,16.39163215125545,47.96611095,16.4330201,48.6106026,98.7359,109.8930567,200,100,-15
9,09.09.2022,Ebreichsdorf,CSN-B*,Zwentendorf,16.39163215125545,47.96611095,16.4330201,48.6106026,98.7359,109.8930567,200,100,-15
9,09.09.2022,St. Margarethen-Stückler,CSN-B*,Zwentendorf,14.813442095989808,46.85983155,16.4330201,48.6106026,328.3924,365.5007412,200,100,-15
9,16.09.2022,Stadl Paura,CSN-B*,Zwentendorf,13.8694007,48.0838623,16.4330201,48.6106026,258.7631,288.0033303,200,100,-15
9,23.09.2022,St. Margarethen-Stückler,CSN-B*,Zwentendorf,14.813442095989808,46.85983155,16.4330201,48.6106026,328.3924,365.5007412,200,100,-15
9,23.09.2022,Bregenz,CSN-B*,Zwentendorf,9.7472924,47.5025779,16.4330201,48.6106026,640.3364,712.6944132,200,100,-15
9,23.09.2022,Ranshofen,CSN-B*,Zwentendorf,13.0148774,48.2351825,16.4330201,48.6106026,330.5409,367.89202170000004,200,100,-15
9,30.09.2022,Obersulz,CSN-B*,Zwentendorf,16.6750006,48.5018228,16.4330201,48.6106026,25.1382,27.978816600000002,200,100,-15
9,30.09.2022,Ranshofen,CSN-B*,Zwentendorf,13.0148774,48.2351825,16.4330201,48.6106026,330.5409,367.89202170000004,200,100,-15
10,14.10.2022,Stadl Paura,CSN-B*,Zwentendorf,13.8694007,48.0838623,16.4330201,48.6106026,258.7631,288.0033303,200,100,-15
